edit_history_tweet_ids,public_metrics,id,entities,created_at,author_id,text,username,name
['1972352367476768809'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",1972352367476768809,"{'annotations': [{'start': 58, 'end': 71, 'probability': 0.3833, 'type': 'Person', 'normalized_text': 'BOBO HIJUEPUTA'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 49, 'end': 56, 'username': 'maluma', 'id': '153433497'}]}",2025-09-28 17:27:03+00:00,104205660,@JDOviedoAr @petrogustavo @ConTodaPorCol llame a @maluma  BOBO HIJUEPUTA!!!,RTrinadorsinley,RTrinador.
['1972352248874422749'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 9}",1972352248874422749,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:26:35+00:00,1700642300517298176,"@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Irresponsable por decir que paren el genocidio, que pendejo.",MiguelAngel9541,Miguel Angel
['1972352232755704224'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",1972352232755704224,"{'annotations': [{'start': 333, 'end': 340, 'probability': 0.5671, 'type': 'Person', 'normalized_text': 'PETROSKY'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:26:31+00:00,734569574578950144,"@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Solo es ver los apellidos de los firmantes y saber que son unos corruptos, criminales, vende patria y VIVIDORES DEL ESTADO! 🤣😂 Todo un alboroto por una visa! jajajjajjajajja Apoyo total a PETROSKY! 💪🏻",gzszaj5H,gzsz- 🩷💜🍒❤️⭐🌳
['1972351905642009080'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",1972351905642009080,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:25:13+00:00,433895618,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Jajajajajjajajjajajajajajajajajajajajajajjajajajaja,juanfelipezaji,Juan Felipe Zamudio J.
['1972351768819606004'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}",1972351768819606004,"{'annotations': [{'start': 208, 'end': 215, 'probability': 0.9864, 'type': 'Place', 'normalized_text': 'Colombia'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 26, 'end': 38, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 39, 'end': 55, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 56, 'end': 72, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 73, 'end': 83, 'username': 'lunadavid', 'id': '44740326'}, {'start': 84, 'end': 100, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 101, 'end': 115, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:24:40+00:00,3364325488,@UltimaHoraCR @JDOviedoAr @pipecordoba @juanmanuelgalan @MauricioGomezCO @lunadavid @EnriquePenalosa @mluciaramirez Son como M.. eso ya lo dijeron desde estados unidos que solo repercute al presidente pero a Colombia nada dejen de ser útiles a la ignorancia...,GarevaloTo,german arevalo
['1972351352706679159'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 221}",1972351352706679159,"{'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 26, 'end': 38, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 39, 'end': 55, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 56, 'end': 72, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 73, 'end': 83, 'username': 'lunadavid', 'id': '44740326'}, {'start': 84, 'end': 100, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 101, 'end': 115, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:23:01+00:00,1590492134444081152,@UltimaHoraCR @JDOviedoAr @pipecordoba @juanmanuelgalan @MauricioGomezCO @lunadavid @EnriquePenalosa @mluciaramirez Jajajajajaja,nometiente2,Marce Portilla ♥️
['1972351283689611725'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 38}",1972351283689611725,"{'annotations': [{'start': 147, 'end': 159, 'probability': 0.9384, 'type': 'Person', 'normalized_text': 'Claudia López'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'IAelectoral', 'id': '1935062284889718784'}, {'start': 13, 'end': 29, 'username': 'AngelicaLozanoC', 'id': '37341338'}, {'start': 30, 'end': 46, 'username': 'PartidoVerdeCoL', 'id': '116476719'}, {'start': 47, 'end': 62, 'username': 'sergio_fajardo', 'id': '25185308'}, {'start': 63, 'end': 74, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 75, 'end': 91, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 92, 'end': 108, 'username': 'NoticiasCaracol', 'id': '17813487'}, {'start': 109, 'end': 119, 'username': 'DCoronell', 'id': '174492304'}, {'start': 120, 'end': 134, 'username': 'RevistaSemana', 'id': '18079284'}, {'start': 135, 'end': 146, 'username': 'BluRadioCo', 'id': '622082899'}]}",2025-09-28 17:22:45+00:00,1286856942552600577,@IAelectoral @AngelicaLozanoC @PartidoVerdeCoL @sergio_fajardo @JDOviedoAr @juanmanuelgalan @NoticiasCaracol @DCoronell @RevistaSemana @BluRadioCo Claudia López?,Liliana82983026,Lilo
['1972351264030900610'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",1972351264030900610,"{'annotations': [{'start': 134, 'end': 136, 'probability': 0.9733, 'type': 'Place', 'normalized_text': 'USA'}, {'start': 198, 'end': 201, 'probability': 0.9887, 'type': 'Place', 'normalized_text': 'EEUU'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 26, 'end': 38, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 39, 'end': 55, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 56, 'end': 72, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 73, 'end': 83, 'username': 'lunadavid', 'id': '44740326'}, {'start': 84, 'end': 100, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 101, 'end': 115, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:22:40+00:00,1724778934192193537,"@UltimaHoraCR @JDOviedoAr @pipecordoba @juanmanuelgalan @MauricioGomezCO @lunadavid @EnriquePenalosa @mluciaramirez LAMBECULOS DE LOS USA. Una pregunta cuando CHINA asuma el poder total del mundo y EEUU sea un país como cualquier otro, espero que también esté dispuesto a lamberculo a los chinos. Jajaja",rodriguez_12418,Talo Rodríguez
['1972351076608377186'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 11}",1972351076608377186,"{'annotations': [{'start': 125, 'end': 130, 'probability': 0.4811, 'type': 'Person', 'normalized_text': 'VI ZAR'}, {'start': 282, 'end': 285, 'probability': 0.7303, 'type': 'Organization', 'normalized_text': 'FARC'}, {'start': 289, 'end': 291, 'probability': 0.4705, 'type': 'Place', 'normalized_text': 'ELN'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2025-09-28 17:21:55+00:00,1787851087078096896,"@JDOviedoAr @petrogustavo @ConTodaPorCol DIGNIDAt:   fue palabra que usada por la tiranía cubana y venezolana  para   ES CLA VI ZAR a su población.  petroChavismo  nunca más.

EXHORTOS:
1. Se le informa a la población civil que abandonen los territorios controlados por terroristas FARC y ELN, porque desde el 8 de agosto",soynuevaderecha,nuevaderecha
['1972351053992780205'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",1972351053992780205,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-28 17:21:50+00:00,1869769774391267328,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Solo son chupa huevos Empresarios y Políticos Corruptos,JoseMartne33807,Jose Martínez
