entities,author_id,id,created_at,public_metrics,text,edit_history_tweet_ids,username,name
"{'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/WDOchc7dC6', 'expanded_url': 'https://x.com/arielanaliza/status/1945945923739152836?s=46', 'display_url': 'x.com/arielanaliza/s…'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1755252101406461952,1970884325110653356,2025-09-24 16:13:35+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 88}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Esta gente sigue ardida no joda
https://t.co/WDOchc7dC6",['1970884325110653356'],SofaLpew,Sonia López
"{'annotations': [{'start': 80, 'end': 84, 'probability': 0.4904, 'type': 'Person', 'normalized_text': 'Jorge'}, {'start': 170, 'end': 180, 'probability': 0.9103, 'type': 'Person', 'normalized_text': 'Ariel Ávila'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1707843625,1970884161952247948,2025-09-24 16:12:56+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 29}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Yo he sido alumna suya Jorge, y usted es un tipo de extrema izquierda que invita al impresentable calumniador de Ariel Ávila a sus cátedras para adoctrinar estudiantes. Usted es una farsa.",['1970884161952247948'],zombiecuervo,aleja
"{'annotations': [{'start': 79, 'end': 82, 'probability': 0.6231, 'type': 'Person', 'normalized_text': 'Pipe'}, {'start': 112, 'end': 122, 'probability': 0.47, 'type': 'Organization', 'normalized_text': 'Contraloria'}, {'start': 154, 'end': 158, 'probability': 0.2894, 'type': 'Person', 'normalized_text': 'Navas'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1755235474874961920,1970883463646781787,2025-09-24 16:10:09+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 35}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Usted vive ardido con Pipe, es porque lo sacaron de la Contraloria en la época del vicecontralor Navas por mediocre y flojo. Le tocó adoctrinar estudiantes como profesor, porque como buen zurdo pal trabajo no sirvió.",['1970883463646781787'],DiegoHe18589064,Diego Hernández
"{'annotations': [{'start': 176, 'end': 180, 'probability': 0.9659, 'type': 'Person', 'normalized_text': 'Duque'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 28, 'username': 'consejodeestado', 'id': '190713465'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",904532688576622592,1970883453530018064,2025-09-24 16:10:07+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}","@JDOviedoAr @consejodeestado @ConTodaPorCol Igual, nunca serás presidente.
Tu tibieza y tecnocracia no está para gobernar a nuestro país en este momento tan convulsionado.
Con Duque fue suficiente.",['1970883453530018064'],ManuelS74144127,ManuelS
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 28, 'username': 'consejodeestado', 'id': '190713465'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1960794521622437888,1970882785788490110,2025-09-24 16:07:28+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 8}",@JDOviedoAr @consejodeestado @ConTodaPorCol Me alegro!,['1970882785788490110'],SandraAbri17910,Sandra Abril Gutiérrez
"{'urls': [{'start': 120, 'end': 143, 'url': 'https://t.co/wuXGNivRLj', 'expanded_url': 'https://x.com/impacto24_7/status/1947628442255823089?s=46', 'display_url': 'x.com/impacto24_7/st…'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1743658011585810432,1970881872294002971,2025-09-24 16:03:50+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 80}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr Ya sé de dónde vienen estos “opinadores expertos en política” 
https://t.co/wuXGNivRLj",['1970881872294002971'],JorgeL94J,José Luis Restrepo 🇨🇴
"{'mentions': [{'start': 0, 'end': 13, 'username': 'UltimaHoraCR', 'id': '1297930090135920640'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1123282953730166784,1970881315349405888,2025-09-24 16:01:37+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 134}",@UltimaHoraCR @JDOviedoAr Corruptos,['1970881315349405888'],Efarangos,Felipe
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 19, 'username': 'Hora20', 'id': '143285665'}]}",1117917669712367616,1970880467064050165,2025-09-24 15:58:15+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 20}",@JDOviedoAr @Hora20 ¿Quien sería su ministra o ministro de defensa?,['1970880467064050165'],BenFerMarci,Marcia
"{'annotations': [{'start': 82, 'end': 87, 'probability': 0.7091, 'type': 'Other', 'normalized_text': 'Hora20'}, {'start': 142, 'end': 155, 'probability': 0.9661, 'type': 'Person', 'normalized_text': 'Felipe Córdoba'}, {'start': 265, 'end': 272, 'probability': 0.9785, 'type': 'Place', 'normalized_text': 'Colombia'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'cuervoji', 'id': '323019531'}, {'start': 10, 'end': 17, 'username': 'Hora20', 'id': '143285665'}, {'start': 18, 'end': 31, 'username': 'PaolaHolguin', 'id': '185763733'}, {'start': 32, 'end': 44, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1757932644019400705,1970878860972732927,2025-09-24 15:51:52+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 59}","@cuervoji @Hora20 @PaolaHolguin @pipecordoba @JDOviedoAr No entiendo que viste en Hora20, yo vi a los tres candidatos muy bien, en especial a Felipe Córdoba, su propuesta basada en modernizar las fuerzas armadas es coherente. Los bandidos si andan atacando en toda Colombia con drones y el estado ahí indefenso...",['1970878860972732927'],JerardoTuitea,Jerardo Tuitea 🇨🇴
"{'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/xdhWbSNUkg', 'expanded_url': 'https://x.com/alvarogarciaba1/status/1970877639872176382/photo/1', 'display_url': 'pic.x.com/xdhWbSNUkg', 'media_key': '16_1970877633459068928'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 28, 'username': 'consejodeestado', 'id': '190713465'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",900230293,1970877639872176382,2025-09-24 15:47:01+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",@JDOviedoAr @consejodeestado @ConTodaPorCol https://t.co/xdhWbSNUkg,['1970877639872176382'],alvarogarciaba1,alvaro garcia barbos
