entities,author_id,id,text,edit_history_tweet_ids,public_metrics,created_at,username,name
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1884270726732976128,1967911174835769778,"@JDOviedoAr @ConTodaPorCol YA DEVOLVISTE LOS DINEROS QUE COBRASTE ESTANDO INHABILITADO 
SABANDIJA TRIPLE HPTA!!!",['1967911174835769778'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",2025-09-16 11:19:20+00:00,LEON01977,LEON ✊🏾🔥
"{'annotations': [{'start': 152, 'end': 156, 'probability': 0.8455, 'type': 'Person', 'normalized_text': 'petro'}, {'start': 203, 'end': 208, 'probability': 0.7935, 'type': 'Person', 'normalized_text': 'maduro'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",296834013,1967910728649818121,@JDOviedoAr @ConTodaPorCol Todas estas ideas que menciona que ya existen y cosas más el gobierno lo ha hecho la joda pasa es  por el tema de vincular a petro con el cartel de los soles o su relación con maduro cuántas toneladas ha confiscado este gobierno muchísimas y aún así lo desertifican? .,['1967910728649818121'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 17}",2025-09-16 11:17:34+00:00,Belper81,belper
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1526259819870658567,1967909682200318009,@JDOviedoAr @ConTodaPorCol Lambones arrodillados no queremos un presidente así,['1967909682200318009'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}",2025-09-16 11:13:24+00:00,UriveBelez,Historical pact
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",47246539,1967908780781511037,@JDOviedoAr @ConTodaPorCol Un estadista pero aquí a los pobres se les conquista con subsidios,['1967908780781511037'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",2025-09-16 11:09:49+00:00,Pensamiento3031,Maria Beatriz Moreno
"{'annotations': [{'start': 37, 'end': 40, 'probability': 0.5499, 'type': 'Person', 'normalized_text': 'FARC'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1853575438481739776,1967908607682547945,@JDOviedoAr @ConTodaPorCol Malparido FARC SANTE,['1967908607682547945'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",2025-09-16 11:09:08+00:00,aktinsonn52610,Goliat Ratero 6402
"{'annotations': [{'start': 67, 'end': 75, 'probability': 0.595, 'type': 'Place', 'normalized_text': 'otto pais'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1485151572829118472,1967907802200092777,@JDOviedoAr @ConTodaPorCol Y la soberanía del pais se la dejamos a otto pais?,['1967907802200092777'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 22}",2025-09-16 11:05:56+00:00,Jjuani6O,Juana
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 27, 'end': 39, 'username': 'darcyquinnr', 'id': '626592458'}, {'start': 40, 'end': 52, 'username': 'MaCamilaRoa', 'id': '99859354'}, {'start': 53, 'end': 64, 'username': 'BluRadioCo', 'id': '622082899'}, {'start': 65, 'end': 79, 'username': 'RevistaSemana', 'id': '18079284'}, {'start': 80, 'end': 86, 'username': 'pulzo', 'id': '1733793840'}, {'start': 87, 'end': 103, 'username': 'infobaecolombia', 'id': '2350232347'}, {'start': 104, 'end': 117, 'username': 'elespectador', 'id': '14834302'}, {'start': 118, 'end': 133, 'username': 'YesidLancheros', 'id': '62328908'}, {'start': 134, 'end': 150, 'username': 'Maryaristizabal', 'id': '118229129'}]}",1076986340,1967905552169832686,@JDOviedoAr @ConTodaPorCol @darcyquinnr @MaCamilaRoa @BluRadioCo @RevistaSemana @pulzo @infobaecolombia @elespectador @YesidLancheros @Maryaristizabal Aja mí llave cómo cuántos votos crees tú que vas a sacar a la presidencia de la República?,['1967905552169832686'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 15}",2025-09-16 10:57:00+00:00,FERNANDORAVEM,FERNANDO RAVE M.
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1266921630485352451,1967905001789067730,@JDOviedoAr @ConTodaPorCol Ya devolvió la plata que se robó pues usted estaba inhabilitado?,['1967905001789067730'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}",2025-09-16 10:54:48+00:00,mikerural_,Mike🇲🇽🇨🇴🎶
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}], 'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/8CRFjZjff3', 'expanded_url': 'https://x.com/HaroldV75453598/status/1967903147898372131/photo/1', 'display_url': 'pic.x.com/8CRFjZjff3', 'media_key': '16_1967903140809748480'}]}",1627391087974273024,1967903147898372131,@JDOviedoAr @ConTodaPorCol https://t.co/8CRFjZjff3,['1967903147898372131'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 9}",2025-09-16 10:47:26+00:00,HaroldV75453598,Don Maloso
"{'annotations': [{'start': 234, 'end': 239, 'probability': 0.9152, 'type': 'Place', 'normalized_text': 'Bogotá'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'CxRamirezMiguel', 'id': '1399484619574198272'}, {'start': 17, 'end': 32, 'username': 'julianclavijoo', 'id': '176826801'}, {'start': 33, 'end': 48, 'username': 'CamaraColombia', 'id': '338472735'}, {'start': 49, 'end': 60, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 61, 'end': 76, 'username': 'NestorMoralesC', 'id': '3300493816'}, {'start': 77, 'end': 93, 'username': 'JuanPabloCalvas', 'id': '3376511'}, {'start': 94, 'end': 107, 'username': 'paulabolivar', 'id': '110839000'}, {'start': 133, 'end': 144, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 174, 'end': 189, 'username': 'julianclavijoo', 'id': '176826801'}], 'urls': [{'start': 274, 'end': 297, 'url': 'https://t.co/MF5cST6ev5', 'expanded_url': 'https://x.com/MargaritaArval7/status/1967903027295371672/photo/1', 'display_url': 'pic.x.com/MF5cST6ev5', 'media_key': '16_1967903019564974080'}]}",917589093374156800,1967903027295371672,@CxRamirezMiguel @julianclavijoo @CamaraColombia @JDOviedoAr @NestorMoralesC @JuanPabloCalvas @paulabolivar Confío en la rectitud de @JDOviedoAr para reconocer el trabajo de @julianclavijoo un exelente candidato para que represente a Bogotá en la cámara de representantes 👇 https://t.co/MF5cST6ev5,['1967903027295371672'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 106}",2025-09-16 10:46:58+00:00,MargaritaArval7,Margarita Arévalo Gu
